rl,toChoose,exp
SRX10775012,study_tissue_genotype_other,SRX10775064
SRX10775034,study_tissue_genotype_other,SRX10775061
SRX10775034,study_tissue_genotype_other,SRX10775065
SRX10775035,study_tissue_genotype_other,SRX10775058
SRX10775035,study_tissue_genotype_other,SRX10775062
SRX10775036,study_tissue_genotype_other,SRX10775059
SRX10775036,study_tissue_genotype_other,SRX10775063
SRX10775037,study_tissue_genotype_other,SRX10775060
SRX10775037,study_tissue_genotype_other,SRX10775064
SRX10775038,study_tissue_genotype_other,SRX10775061
SRX10775038,study_tissue_genotype_other,SRX10775065
SRX7805793,study_tissue_genotype_other,SRX7805811
SRX7805793,study_tissue_genotype_other,SRX7805812
SRX7805794,study_tissue_genotype_other,SRX7805811
SRX7805794,study_tissue_genotype_other,SRX7805812
SRX7805795,study_tissue_genotype_other,SRX7805811
SRX7805795,study_tissue_genotype_other,SRX7805812
SRX7805796,study_tissue_genotype_other,SRX7805811
SRX7805796,study_tissue_genotype_other,SRX7805812
SRX7805797,study_tissue_genotype_other,SRX7805813
SRX7805797,study_tissue_genotype_other,SRX7805814
SRX7805798,study_tissue_genotype_other,SRX7805813
SRX7805798,study_tissue_genotype_other,SRX7805814
SRX7805799,study_tissue_genotype_other,SRX7805813
SRX7805799,study_tissue_genotype_other,SRX7805814
SRX7805800,study_tissue_genotype_other,SRX7805813
SRX7805800,study_tissue_genotype_other,SRX7805814
SRX7805801,study_tissue_genotype_other,SRX7805815
SRX7805801,study_tissue_genotype_other,SRX7805816
SRX7805802,study_tissue_genotype_other,SRX7805815
SRX7805802,study_tissue_genotype_other,SRX7805816
SRX7805803,study_tissue_genotype_other,SRX7805817
SRX7805803,study_tissue_genotype_other,SRX7805818
SRX7805804,study_tissue_genotype_other,SRX7805817
SRX7805804,study_tissue_genotype_other,SRX7805818
SRX7805805,study_tissue_genotype_other,SRX7805817
SRX7805805,study_tissue_genotype_other,SRX7805818
SRX7805806,study_tissue_genotype_other,SRX7805817
SRX7805806,study_tissue_genotype_other,SRX7805818
SRX7805791,study_tissue_genotype_other,SRX7805809
SRX7805791,study_tissue_genotype_other,SRX7805810
SRX7805792,study_tissue_genotype_other,SRX7805809
SRX7805792,study_tissue_genotype_other,SRX7805810
SRX7805807,study_tissue_genotype_other,SRX7805819
SRX7805807,study_tissue_genotype_other,SRX7805820
SRX7805808,study_tissue_genotype_other,SRX7805819
SRX7805808,study_tissue_genotype_other,SRX7805820
SRX11867018,study_tissue_genotype_other,SRX11867039
SRX11867018,study_tissue_genotype_other,SRX11867040
SRX11867018,study_tissue_genotype_other,SRX11867041
SRX11867018,study_tissue_genotype_other,SRX11867042
SRX11867019,study_tissue_genotype_other,SRX11867039
SRX11867019,study_tissue_genotype_other,SRX11867040
SRX11867019,study_tissue_genotype_other,SRX11867041
SRX11867019,study_tissue_genotype_other,SRX11867042
SRX11867020,study_tissue_genotype_other,SRX11867039
SRX11867020,study_tissue_genotype_other,SRX11867040
SRX11867020,study_tissue_genotype_other,SRX11867041
SRX11867020,study_tissue_genotype_other,SRX11867042
SRX7805786,study_tissue_genotype_other,SRX7805811
SRX7805786,study_tissue_genotype_other,SRX7805812
SRX7805787,study_tissue_genotype_other,SRX7805813
SRX7805787,study_tissue_genotype_other,SRX7805814
SRX7805788,study_tissue_genotype_other,SRX7805815
SRX7805788,study_tissue_genotype_other,SRX7805816
SRX7805789,study_tissue_genotype_other,SRX7805817
SRX7805789,study_tissue_genotype_other,SRX7805818
SRX7805785,study_tissue_genotype_other,SRX7805809
SRX7805785,study_tissue_genotype_other,SRX7805810
SRX7805790,study_tissue_genotype_other,SRX7805819
SRX7805790,study_tissue_genotype_other,SRX7805820
SRX7582144,study_tissue_genotype_other,SRX7582145
SRX7582144,study_tissue_genotype_other,SRX7582146
SRX7582143,study_tissue_genotype_other,SRX7582145
SRX7582143,study_tissue_genotype_other,SRX7582146
SRX6686232,study_tissue_genotype_other,SRX6686238
SRX6686232,study_tissue_genotype_other,SRX6686239
SRX6686233,study_tissue_genotype_other,SRX8388987
SRX6686234,study_tissue_genotype_other,SRX6686238
SRX6686234,study_tissue_genotype_other,SRX6686239
SRX6686235,study_tissue_genotype_other,SRX8388987
SRX6686237,study_tissue_genotype_other,SRX6686238
SRX6686237,study_tissue_genotype_other,SRX6686239
SRX8388985,study_tissue_genotype_other,SRX6686238
SRX8388985,study_tissue_genotype_other,SRX6686239
SRX8388986,study_tissue_genotype_other,SRX8388987
SRX8755310,study_tissue_genotype_other,SRX8776130
SRX8755311,study_tissue_genotype_other,SRX8776130
SRX8908657,study_tissue_genotype_other,SRX8908671
SRX8908657,study_tissue_genotype_other,SRX8908672
SRX8908657,study_tissue_genotype_other,SRX8908673
SRX8908658,study_tissue_genotype_other,SRX8908671
SRX8908658,study_tissue_genotype_other,SRX8908672
SRX8908658,study_tissue_genotype_other,SRX8908673
SRX8908659,study_tissue_genotype_other,SRX8908671
SRX8908659,study_tissue_genotype_other,SRX8908672
SRX8908659,study_tissue_genotype_other,SRX8908673
SRX8908660,study_tissue_genotype_other,SRX8908671
SRX8908660,study_tissue_genotype_other,SRX8908672
SRX8908660,study_tissue_genotype_other,SRX8908673
SRX8908661,study_tissue_genotype_other,SRX8908671
SRX8908661,study_tissue_genotype_other,SRX8908672
SRX8908661,study_tissue_genotype_other,SRX8908673
SRX8908662,study_tissue_genotype_other,SRX8908674
SRX8908662,study_tissue_genotype_other,SRX8908675
SRX8908662,study_tissue_genotype_other,SRX8908676
SRX8908663,study_tissue_genotype_other,SRX8908674
SRX8908663,study_tissue_genotype_other,SRX8908675
SRX8908663,study_tissue_genotype_other,SRX8908676
SRX8908664,study_tissue_genotype_other,SRX8908674
SRX8908664,study_tissue_genotype_other,SRX8908675
SRX8908664,study_tissue_genotype_other,SRX8908676
SRX8908665,study_tissue_genotype_other,SRX8908677
SRX8908665,study_tissue_genotype_other,SRX8908678
SRX8908665,study_tissue_genotype_other,SRX8908679
SRX8908666,study_tissue_genotype_other,SRX8908677
SRX8908666,study_tissue_genotype_other,SRX8908678
SRX8908666,study_tissue_genotype_other,SRX8908679
SRX8908667,study_tissue_genotype_other,SRX8908677
SRX8908667,study_tissue_genotype_other,SRX8908678
SRX8908667,study_tissue_genotype_other,SRX8908679
SRX8908668,study_tissue_genotype_other,SRX8908680
SRX8908668,study_tissue_genotype_other,SRX8908681
SRX8908668,study_tissue_genotype_other,SRX8908682
SRX8908669,study_tissue_genotype_other,SRX8908680
SRX8908669,study_tissue_genotype_other,SRX8908681
SRX8908669,study_tissue_genotype_other,SRX8908682
SRX8908670,study_tissue_genotype_other,SRX8908680
SRX8908670,study_tissue_genotype_other,SRX8908681
SRX8908670,study_tissue_genotype_other,SRX8908682
SRX10505690,study_tissue_genotype_other,SRX10575792
SRX10505690,study_tissue_genotype_other,SRX10575793
SRX10505690,study_tissue_genotype_other,SRX10575794
SRX10505691,study_tissue_genotype_other,SRX10575792
SRX10505691,study_tissue_genotype_other,SRX10575793
SRX10505691,study_tissue_genotype_other,SRX10575794
SRX10505692,study_tissue_genotype_other,SRX10575792
SRX10505692,study_tissue_genotype_other,SRX10575793
SRX10505692,study_tissue_genotype_other,SRX10575794
SRX10505693,study_tissue_genotype_other,SRX10575792
SRX10505693,study_tissue_genotype_other,SRX10575793
SRX10505693,study_tissue_genotype_other,SRX10575794
SRX10505696,study_tissue_genotype_other,SRX10575795
SRX10505696,study_tissue_genotype_other,SRX10575796
SRX10505696,study_tissue_genotype_other,SRX10575797
SRX10505697,study_tissue_genotype_other,SRX10575795
SRX10505697,study_tissue_genotype_other,SRX10575796
SRX10505697,study_tissue_genotype_other,SRX10575797
SRX10505698,study_tissue_genotype_other,SRX10575795
SRX10505698,study_tissue_genotype_other,SRX10575796
SRX10505698,study_tissue_genotype_other,SRX10575797
SRX10505699,study_tissue_genotype_other,SRX10575795
SRX10505699,study_tissue_genotype_other,SRX10575796
SRX10505699,study_tissue_genotype_other,SRX10575797
SRX5290925,study_tissue_genotype_other,SRX5290959
SRX5290925,study_tissue_genotype_other,SRX5290960
SRX5290926,study_tissue_genotype_other,SRX5290959
SRX5290926,study_tissue_genotype_other,SRX5290960
SRX5290927,study_tissue_genotype_other,SRX5290961
SRX5290927,study_tissue_genotype_other,SRX5290962
SRX5290927,study_tissue_genotype_other,SRX5290983
SRX5290927,study_tissue_genotype_other,SRX5290984
SRX5290928,study_tissue_genotype_other,SRX5290961
SRX5290928,study_tissue_genotype_other,SRX5290962
SRX5290928,study_tissue_genotype_other,SRX5290983
SRX5290928,study_tissue_genotype_other,SRX5290984
SRX5290929,study_tissue_genotype_other,SRX5290963
SRX5290929,study_tissue_genotype_other,SRX5290964
SRX5290929,study_tissue_genotype_other,SRX5290985
SRX5290929,study_tissue_genotype_other,SRX5290986
SRX5290929,study_tissue_genotype_other,SRX5290989
SRX5290929,study_tissue_genotype_other,SRX5290990
SRX5290930,study_tissue_genotype_other,SRX5290963
SRX5290930,study_tissue_genotype_other,SRX5290964
SRX5290930,study_tissue_genotype_other,SRX5290985
SRX5290930,study_tissue_genotype_other,SRX5290986
SRX5290930,study_tissue_genotype_other,SRX5290989
SRX5290930,study_tissue_genotype_other,SRX5290990
SRX5290931,study_tissue_genotype_other,SRX5290965
SRX5290931,study_tissue_genotype_other,SRX5290966
SRX5290932,study_tissue_genotype_other,SRX5290965
SRX5290932,study_tissue_genotype_other,SRX5290966
SRX5290933,study_tissue_genotype_other,SRX5290967
SRX5290933,study_tissue_genotype_other,SRX5290968
SRX5290933,study_tissue_genotype_other,SRX5290987
SRX5290933,study_tissue_genotype_other,SRX5290988
SRX5290934,study_tissue_genotype_other,SRX5290967
SRX5290934,study_tissue_genotype_other,SRX5290968
SRX5290934,study_tissue_genotype_other,SRX5290987
SRX5290934,study_tissue_genotype_other,SRX5290988
SRX5290935,study_tissue_genotype_other,SRX5290969
SRX5290935,study_tissue_genotype_other,SRX5290970
SRX5290936,study_tissue_genotype_other,SRX5290969
SRX5290936,study_tissue_genotype_other,SRX5290970
SRX5290937,study_tissue_genotype_other,SRX5290971
SRX5290937,study_tissue_genotype_other,SRX5290972
SRX5290938,study_tissue_genotype_other,SRX5290971
SRX5290938,study_tissue_genotype_other,SRX5290972
SRX5290939,study_tissue_genotype_other,SRX5290973
SRX5290939,study_tissue_genotype_other,SRX5290974
SRX5290940,study_tissue_genotype_other,SRX5290973
SRX5290940,study_tissue_genotype_other,SRX5290974
SRX5290941,study_tissue_genotype_other,SRX5290975
SRX5290941,study_tissue_genotype_other,SRX5290976
SRX5290942,study_tissue_genotype_other,SRX5290975
SRX5290942,study_tissue_genotype_other,SRX5290976
SRX5290943,study_tissue_genotype_other,SRX5290977
SRX5290943,study_tissue_genotype_other,SRX5290978
SRX5290944,study_tissue_genotype_other,SRX5290977
SRX5290944,study_tissue_genotype_other,SRX5290978
SRX5290945,study_tissue_genotype_other,SRX5290979
SRX5290945,study_tissue_genotype_other,SRX5290980
SRX5290946,study_tissue_genotype_other,SRX5290979
SRX5290946,study_tissue_genotype_other,SRX5290980
SRX5290947,study_tissue_genotype_other,SRX5290981
SRX5290947,study_tissue_genotype_other,SRX5290982
SRX5290948,study_tissue_genotype_other,SRX5290981
SRX5290948,study_tissue_genotype_other,SRX5290982
SRX5290949,study_tissue_genotype_other,SRX5290961
SRX5290949,study_tissue_genotype_other,SRX5290962
SRX5290949,study_tissue_genotype_other,SRX5290983
SRX5290949,study_tissue_genotype_other,SRX5290984
SRX5290950,study_tissue_genotype_other,SRX5290961
SRX5290950,study_tissue_genotype_other,SRX5290962
SRX5290950,study_tissue_genotype_other,SRX5290983
SRX5290950,study_tissue_genotype_other,SRX5290984
SRX5290951,study_tissue_genotype_other,SRX5290963
SRX5290951,study_tissue_genotype_other,SRX5290964
SRX5290951,study_tissue_genotype_other,SRX5290985
SRX5290951,study_tissue_genotype_other,SRX5290986
SRX5290951,study_tissue_genotype_other,SRX5290989
SRX5290951,study_tissue_genotype_other,SRX5290990
SRX5290952,study_tissue_genotype_other,SRX5290963
SRX5290952,study_tissue_genotype_other,SRX5290964
SRX5290952,study_tissue_genotype_other,SRX5290985
SRX5290952,study_tissue_genotype_other,SRX5290986
SRX5290952,study_tissue_genotype_other,SRX5290989
SRX5290952,study_tissue_genotype_other,SRX5290990
SRX5290953,study_tissue_genotype_other,SRX5290967
SRX5290953,study_tissue_genotype_other,SRX5290968
SRX5290953,study_tissue_genotype_other,SRX5290987
SRX5290953,study_tissue_genotype_other,SRX5290988
SRX5290954,study_tissue_genotype_other,SRX5290967
SRX5290954,study_tissue_genotype_other,SRX5290968
SRX5290954,study_tissue_genotype_other,SRX5290987
SRX5290954,study_tissue_genotype_other,SRX5290988
SRX5290957,study_tissue_genotype_other,SRX5290993
SRX5290957,study_tissue_genotype_other,SRX5290994
SRX5290957,study_tissue_genotype_other,SRX5290995
SRX5290957,study_tissue_genotype_other,SRX5290996
SRX5290958,study_tissue_genotype_other,SRX5290993
SRX5290958,study_tissue_genotype_other,SRX5290994
SRX5290958,study_tissue_genotype_other,SRX5290995
SRX5290958,study_tissue_genotype_other,SRX5290996
SRX7692181,study_tissue_genotype_other,SRX7692178
SRX7692181,study_tissue_genotype_other,SRX7692179
SRX7692181,study_tissue_genotype_other,SRX7692180
SRX7692182,study_tissue_genotype_other,SRX7692178
SRX7692182,study_tissue_genotype_other,SRX7692179
SRX7692182,study_tissue_genotype_other,SRX7692180
SRX7692183,study_tissue_genotype_other,SRX7692175
SRX7692183,study_tissue_genotype_other,SRX7692176
SRX7692183,study_tissue_genotype_other,SRX7692177
SRX7692184,study_tissue_genotype_other,SRX7692175
SRX7692184,study_tissue_genotype_other,SRX7692176
SRX7692184,study_tissue_genotype_other,SRX7692177
SRX5165656,study_tissue_genotype_other,SRX5165648
SRX5165656,study_tissue_genotype_other,SRX5165649
SRX5165657,study_tissue_genotype_other,SRX5165648
SRX5165657,study_tissue_genotype_other,SRX5165649
SRX5165658,study_tissue_genotype_other,SRX5165648
SRX5165658,study_tissue_genotype_other,SRX5165649
SRX5165659,study_tissue_genotype_other,SRX5165648
SRX5165659,study_tissue_genotype_other,SRX5165649
SRX5165660,study_tissue_genotype_other,SRX5165650
SRX5165660,study_tissue_genotype_other,SRX5165651
SRX5165661,study_tissue_genotype_other,SRX5165650
SRX5165661,study_tissue_genotype_other,SRX5165651
SRX5165662,study_tissue_genotype_other,SRX5165650
SRX5165662,study_tissue_genotype_other,SRX5165651
SRX5165663,study_tissue_genotype_other,SRX5165650
SRX5165663,study_tissue_genotype_other,SRX5165651
SRX7582132,study_tissue_genotype_other,SRX7582135
SRX7582132,study_tissue_genotype_other,SRX7582136
SRX7582133,study_tissue_genotype_other,SRX7582137
SRX7582133,study_tissue_genotype_other,SRX7582138
SRX7582131,study_tissue_genotype_other,SRX7582135
SRX7582131,study_tissue_genotype_other,SRX7582136
SRX7582134,study_tissue_genotype_other,SRX7582137
SRX7582134,study_tissue_genotype_other,SRX7582138
SRX10505721,study_tissue_genotype_other,SRX10505728
SRX10505721,study_tissue_genotype_other,SRX10505729
SRX10505721,study_tissue_genotype_other,SRX10505730
SRX10505722,study_tissue_genotype_other,SRX10505728
SRX10505722,study_tissue_genotype_other,SRX10505729
SRX10505722,study_tissue_genotype_other,SRX10505730
SRX10505723,study_tissue_genotype_other,SRX10505728
SRX10505723,study_tissue_genotype_other,SRX10505729
SRX10505723,study_tissue_genotype_other,SRX10505730
SRX10505724,study_tissue_genotype_other,SRX10505728
SRX10505724,study_tissue_genotype_other,SRX10505729
SRX10505724,study_tissue_genotype_other,SRX10505730
SRX10505707,study_tissue_genotype_other,SRX10505711
SRX10505707,study_tissue_genotype_other,SRX10505712
SRX10505707,study_tissue_genotype_other,SRX10505713
SRX10505708,study_tissue_genotype_other,SRX10505711
SRX10505708,study_tissue_genotype_other,SRX10505712
SRX10505708,study_tissue_genotype_other,SRX10505713
SRX10505709,study_tissue_genotype_other,SRX10505711
SRX10505709,study_tissue_genotype_other,SRX10505712
SRX10505709,study_tissue_genotype_other,SRX10505713
SRX10505710,study_tissue_genotype_other,SRX10505711
SRX10505710,study_tissue_genotype_other,SRX10505712
SRX10505710,study_tissue_genotype_other,SRX10505713
SRX10775030,study_tissue_other,SRX10775058
SRX10775030,study_tissue_other,SRX10775059
SRX10775030,study_tissue_other,SRX10775062
SRX10775030,study_tissue_other,SRX10775063
SRX10775031,study_tissue_other,SRX10775060
SRX10775031,study_tissue_other,SRX10775061
SRX10775031,study_tissue_other,SRX10775064
SRX10775031,study_tissue_other,SRX10775065
SRX10774996,study_tissue_other,SRX10775058
SRX10774996,study_tissue_other,SRX10775059
SRX10774996,study_tissue_other,SRX10775062
SRX10774996,study_tissue_other,SRX10775063
SRX10774997,study_tissue_other,SRX10775060
SRX10774997,study_tissue_other,SRX10775061
SRX10774997,study_tissue_other,SRX10775064
SRX10774997,study_tissue_other,SRX10775065
SRX10774998,study_tissue_other,SRX10775058
SRX10774998,study_tissue_other,SRX10775059
SRX10774998,study_tissue_other,SRX10775062
SRX10774998,study_tissue_other,SRX10775063
SRX10774999,study_tissue_other,SRX10775060
SRX10774999,study_tissue_other,SRX10775061
SRX10774999,study_tissue_other,SRX10775064
SRX10774999,study_tissue_other,SRX10775065
SRX10775000,study_tissue_other,SRX10775058
SRX10775000,study_tissue_other,SRX10775059
SRX10775000,study_tissue_other,SRX10775062
SRX10775000,study_tissue_other,SRX10775063
SRX10775001,study_tissue_other,SRX10775060
SRX10775001,study_tissue_other,SRX10775061
SRX10775001,study_tissue_other,SRX10775064
SRX10775001,study_tissue_other,SRX10775065
SRX10505701,study_tissue_other,SRX10505728
SRX10505701,study_tissue_other,SRX10505729
SRX10505701,study_tissue_other,SRX10505730
SRX10505701,study_tissue_other,SRX10505711
SRX10505701,study_tissue_other,SRX10505712
SRX10505701,study_tissue_other,SRX10505713
SRX10505702,study_tissue_other,SRX10505728
SRX10505702,study_tissue_other,SRX10505729
SRX10505702,study_tissue_other,SRX10505730
SRX10505702,study_tissue_other,SRX10505711
SRX10505702,study_tissue_other,SRX10505712
SRX10505702,study_tissue_other,SRX10505713
SRX10505703,study_tissue_other,SRX10505728
SRX10505703,study_tissue_other,SRX10505729
SRX10505703,study_tissue_other,SRX10505730
SRX10505703,study_tissue_other,SRX10505711
SRX10505703,study_tissue_other,SRX10505712
SRX10505703,study_tissue_other,SRX10505713
SRX10505704,study_tissue_other,SRX10505728
SRX10505704,study_tissue_other,SRX10505729
SRX10505704,study_tissue_other,SRX10505730
SRX10505704,study_tissue_other,SRX10505711
SRX10505704,study_tissue_other,SRX10505712
SRX10505704,study_tissue_other,SRX10505713
SRX3084730,study_tissue_genotype,SRX3084742
SRX3084730,study_tissue_genotype,SRX3084743
SRX3084730,study_tissue_genotype,SRX3084744
SRX3084730,study_tissue_genotype,SRX3084745
SRX534093,study_tissue_genotype,SRX534107
SRX534093,study_tissue_genotype,SRX534108
SRX969060,study_tissue_genotype,SRX534119
SRX969060,study_tissue_genotype,SRX534120
SRX969059,study_tissue_genotype,SRX534109
SRX3084734,study_tissue_genotype,SRX3084742
SRX3084734,study_tissue_genotype,SRX3084743
SRX3084734,study_tissue_genotype,SRX3084744
SRX3084734,study_tissue_genotype,SRX3084745
SRX534095,study_tissue_genotype,SRX534109
SRX534100,study_tissue_genotype,SRX534119
SRX534100,study_tissue_genotype,SRX534120
SRX4671912,study_tissue_genotype,SRX4671909
SRX4671912,study_tissue_genotype,SRX4671910
